"id","Direction","Frequency","Platform","Response.RT","Scored","Encoding","List_Type"
"5efa4610ae765911b83a2ad5","U",1,"Prolific",1201,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",5,"Prolific",1422,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",10,"Prolific",2190,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",1,"Prolific",2413,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",7307,100,"Frequency","Pure U"
"w10044769_mad","U",70,"USM",4778,100,"Frequency","Pure U"
"w10080302_stt","U",15,"USM",5858,0,"Frequency","Pure U"
"w10103314","U",30,"USM",974,0,"Frequency","Pure U"
"w10118712","U",15,"USM",1653,0,"Frequency","Pure U"
"w939844","U",2,"USM",23722,0,"Frequency","Pure U"
"w970137","U",5,"USM",1465,0,"Frequency","Pure U"
"w994700","U",1,"USM",1312,0,"Frequency","Pure U"
"w998015_dp","U",100,"USM",7107,100,"Frequency","Pure U"
"w998015_dp","U",50,"USM",2081,100,"Frequency","Pure U"
"488672","U",4,"USM",13523,0,"Frequency","Pure U"
"10006036","U",2,"USM",995,0,"Frequency","Pure U"
"10038653","U",6,"USM",4611,0,"Frequency","Pure U"
"10066786","U",80,"USM",4014,0,"Frequency","Pure U"
"10097621","U",10,"USM",5170,0,"Frequency","Pure U"
"213499","U",40,"USM",2987,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",5,"Prolific",1690,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",25,"Prolific",3833,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",20,"Prolific",7807,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",5,"Prolific",2006,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",10,"Prolific",4617,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",1,"Prolific",7616,100,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",4013,0,"Frequency","Pure U"
"w10044769_mad","U",15,"USM",27144,0,"Frequency","Pure U"
"w10080302_stt","U",1,"USM",8452,0,"Frequency","Pure U"
"w10103314","U",0,"USM",4656,0,"Frequency","Pure U"
"w10118712","U",0,"USM",1495,0,"Frequency","Pure U"
"w939844","U",10,"USM",13842,0,"Frequency","Pure U"
"w970137","U",50,"USM",2088,0,"Frequency","Pure U"
"w994700","U",10,"USM",2603,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",14743,0,"Frequency","Pure U"
"488672","U",3,"USM",5761,0,"Frequency","Pure U"
"10006036","U",0,"USM",8954,100,"Frequency","Pure U"
"10038653","U",6,"USM",4447,100,"Frequency","Pure U"
"10066786","U",60,"USM",6718,100,"Frequency","Pure U"
"10097621","U",8,"USM",5913,0,"Frequency","Pure U"
"213499","U",2,"USM",3583,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",988,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",4,"Prolific",5330,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",1,"Prolific",6378,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",3,"Prolific",1562,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",30,"Prolific",2009,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",1,"Prolific",6134,100,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",2150,0,"Frequency","Pure U"
"w10044769_mad","U",45,"USM",4030,100,"Frequency","Pure U"
"w10080302_stt","U",15,"USM",20041,0,"Frequency","Pure U"
"w10103314","U",0,"USM",11800,0,"Frequency","Pure U"
"w10118712","U",0,"USM",1245,0,"Frequency","Pure U"
"w939844","U",5,"USM",8197,0,"Frequency","Pure U"
"w970137","U",10,"USM",3060,0,"Frequency","Pure U"
"w994700","U",20,"USM",3601,0,"Frequency","Pure U"
"w998015_dp","U",100,"USM",15089,0,"Frequency","Pure U"
"488672","U",2,"USM",37313,0,"Frequency","Pure U"
"10006036","U",0,"USM",5227,100,"Frequency","Pure U"
"10038653","U",6,"USM",5852,0,"Frequency","Pure U"
"10066786","U",0,"USM",9000,0,"Frequency","Pure U"
"10097621","U",0,"USM",1514,0,"Frequency","Pure U"
"213499","U",1,"USM",3292,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",1618,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",3,"Prolific",5199,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",2,"Prolific",2988,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",30,"Prolific",3786,100,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",30,"Prolific",3001,100,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",10,"Prolific",7579,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",2,"Prolific",2079,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1914,100,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",10465,0,"Frequency","Pure U"
"w10080302_stt","U",1,"USM",7452,0,"Frequency","Pure U"
"w10103314","U",1,"USM",4328,0,"Frequency","Pure U"
"w10118712","U",5,"USM",1985,0,"Frequency","Pure U"
"w939844","U",20,"USM",8114,0,"Frequency","Pure U"
"w970137","U",3,"USM",9796,0,"Frequency","Pure U"
"w994700","U",0,"USM",3344,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",2636,100,"Frequency","Pure U"
"488672","U",2.8,"USM",3596,100,"Frequency","Pure U"
"10006036","U",10,"USM",1241,0,"Frequency","Pure U"
"10038653","U",0,"USM",3913,0,"Frequency","Pure U"
"10066786","U",0,"USM",20135,0,"Frequency","Pure U"
"10097621","U",0,"USM",8370,0,"Frequency","Pure U"
"213499","U",0,"USM",2293,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",4897,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",5,"Prolific",9138,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",2,"Prolific",1417,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",5,"Prolific",1082,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",10,"Prolific",1741,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",9,"Prolific",3491,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1668,0,"Frequency","Pure U"
"w10044769_mad","U",40,"USM",2483,100,"Frequency","Pure U"
"w10080302_stt","U",0,"USM",2137,0,"Frequency","Pure U"
"w10103314","U",1,"USM",3818,0,"Frequency","Pure U"
"w10118712","U",3,"USM",2263,0,"Frequency","Pure U"
"w939844","U",10,"USM",17126,0,"Frequency","Pure U"
"w970137","U",0,"USM",3082,100,"Frequency","Pure U"
"w994700","U",0,"USM",13457,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",4450,0,"Frequency","Pure U"
"488672","U",5,"USM",49160,0,"Frequency","Pure U"
"10006036","U",30,"USM",2774,0,"Frequency","Pure U"
"10038653","U",2,"USM",6998,0,"Frequency","Pure U"
"10066786","U",60,"USM",6400,100,"Frequency","Pure U"
"10097621","U",7,"USM",4869,0,"Frequency","Pure U"
"213499","U",7,"USM",5071,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",3298,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",10,"Prolific",6894,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",2,"Prolific",11169,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",20,"Prolific",5991,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",50,"Prolific",4360,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",7,"Prolific",2233,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",5287,0,"Frequency","Pure U"
"w10044769_mad","U",15,"USM",4261,100,"Frequency","Pure U"
"w10080302_stt","U",20,"USM",3756,0,"Frequency","Pure U"
"w10080302_stt","U",50,"USM",3872,100,"Frequency","Pure U"
"w10103314","U",20,"USM",1511,0,"Frequency","Pure U"
"w10118712","U",0,"USM",5075,0,"Frequency","Pure U"
"w939844","U",20,"USM",8725,0,"Frequency","Pure U"
"w970137","U",5,"USM",4137,0,"Frequency","Pure U"
"w994700","U",0,"USM",1391,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",5745,100,"Frequency","Pure U"
"488672","U",37,"USM",14050,100,"Frequency","Pure U"
"10006036","U",10,"USM",6563,100,"Frequency","Pure U"
"10038653","U",65,"USM",8484,0,"Frequency","Pure U"
"10066786","U",85,"USM",16430,0,"Frequency","Pure U"
"10097621","U",95,"USM",1294,0,"Frequency","Pure U"
"213499","U",80,"USM",2282,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",30,"Prolific",1216,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",60,"Prolific",8577,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",20,"Prolific",1230,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",75,"Prolific",6383,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",70,"Prolific",4676,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",8,"Prolific",2793,0,"Frequency","Pure U"
"w10013152_klj","U",70,"USM",4802,0,"Frequency","Pure U"
"w10044769_mad","U",80,"USM",2410,100,"Frequency","Pure U"
"w10080302_stt","U",40,"USM",4676,0,"Frequency","Pure U"
"w10103314","U",55,"USM",7073,0,"Frequency","Pure U"
"w10118712","U",40,"USM",6342,0,"Frequency","Pure U"
"w939844","U",50,"USM",10115,0,"Frequency","Pure U"
"w970137","U",20,"USM",3138,0,"Frequency","Pure U"
"w994700","U",0,"USM",1811,0,"Frequency","Pure U"
"w998015_dp","U",100,"USM",7997,100,"Frequency","Pure U"
"488672","U",0.34,"USM",12537,0,"Frequency","Pure U"
"10006036","U",0,"USM",5390,100,"Frequency","Pure U"
"10038653","U",5,"USM",5881,100,"Frequency","Pure U"
"10066786","U",0,"USM",17039,0,"Frequency","Pure U"
"10097621","U",0,"USM",8435,0,"Frequency","Pure U"
"213499","U",0,"USM",3256,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",5691,100,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",20,"Prolific",5630,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",2,"Prolific",6704,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",5,"Prolific",2517,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",20,"Prolific",3965,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",2,"Prolific",5751,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1614,0,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",5883,100,"Frequency","Pure U"
"w10080302_stt","U",2,"USM",27941,0,"Frequency","Pure U"
"w10103314","U",0,"USM",4811,100,"Frequency","Pure U"
"w10118712","U",0,"USM",3105,0,"Frequency","Pure U"
"w939844","U",30,"USM",7806,100,"Frequency","Pure U"
"w970137","U",2,"USM",2833,0,"Frequency","Pure U"
"w994700","U",1,"USM",4550,100,"Frequency","Pure U"
"w998015_dp","U",0,"USM",14291,100,"Frequency","Pure U"
"488672","U",2,"USM",4711,100,"Frequency","Pure U"
"10006036","U",0,"USM",2629,0,"Frequency","Pure U"
"10038653","U",4,"USM",4438,0,"Frequency","Pure U"
"10066786","U",0,"USM",8573,0,"Frequency","Pure U"
"10097621","U",20,"USM",4078,0,"Frequency","Pure U"
"213499","U",0,"USM",2477,0,"Frequency","Pure U"
"213499","U",0,"USM",3688,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",4940,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",30,"Prolific",5272,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",1,"Prolific",7267,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",4,"Prolific",1236,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",5,"Prolific",6494,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",0,"Prolific",4196,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",2461,0,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",6988,0,"Frequency","Pure U"
"w10080302_stt","U",5,"USM",12471,0,"Frequency","Pure U"
"w10103314","U",0,"USM",11065,0,"Frequency","Pure U"
"w10118712","U",0,"USM",1429,0,"Frequency","Pure U"
"w939844","U",1,"USM",17488,0,"Frequency","Pure U"
"w970137","U",4,"USM",2416,100,"Frequency","Pure U"
"w994700","U",0,"USM",1695,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",4841,0,"Frequency","Pure U"
"488672","U",6,"USM",30807,0,"Frequency","Pure U"
"10006036","U",30,"USM",1491,0,"Frequency","Pure U"
"10038653","U",4,"USM",5825,0,"Frequency","Pure U"
"10066786","U",0,"USM",9070,0,"Frequency","Pure U"
"10097621","U",90,"USM",3454,0,"Frequency","Pure U"
"213499","U",20,"USM",4963,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",3,"Prolific",5195,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",10,"Prolific",4581,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",2,"Prolific",2535,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",10,"Prolific",4364,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",10,"Prolific",4503,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",2,"Prolific",6068,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1614,0,"Frequency","Pure U"
"w10044769_mad","U",60,"USM",17779,0,"Frequency","Pure U"
"w10080302_stt","U",75,"USM",32883,0,"Frequency","Pure U"
"w10103314","U",0,"USM",3025,0,"Frequency","Pure U"
"w10118712","U",0,"USM",6573,0,"Frequency","Pure U"
"w939844","U",20,"USM",89854,0,"Frequency","Pure U"
"w970137","U",5,"USM",1271,0,"Frequency","Pure U"
"w994700","U",0,"USM",4586,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",6768,100,"Frequency","Pure U"
"488672","U",2,"USM",12023,0,"Frequency","Pure U"
"10006036","U",0,"USM",3429,0,"Frequency","Pure U"
"10038653","U",3,"USM",4033,0,"Frequency","Pure U"
"10066786","U",0,"USM",6506,0,"Frequency","Pure U"
"10097621","U",65,"USM",1959,100,"Frequency","Pure U"
"213499","U",0,"USM",2385,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",1190,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",9,"Prolific",7606,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",4,"Prolific",4575,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",10,"Prolific",2053,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",20,"Prolific",4386,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",0,"Prolific",5447,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",4702,0,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",9227,0,"Frequency","Pure U"
"w10080302_stt","U",0,"USM",4722,0,"Frequency","Pure U"
"w10103314","U",0,"USM",7297,0,"Frequency","Pure U"
"w10118712","U",0,"USM",1656,0,"Frequency","Pure U"
"w939844","U",1,"USM",43484,0,"Frequency","Pure U"
"w970137","U",5,"USM",7916,0,"Frequency","Pure U"
"w994700","U",20,"USM",2023,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",2069,0,"Frequency","Pure U"
"488672","U",32,"USM",5248,100,"Frequency","Pure U"
"10006036","U",0,"USM",1018,0,"Frequency","Pure U"
"10038653","U",4,"USM",5369,100,"Frequency","Pure U"
"10066786","U",55,"USM",5900,100,"Frequency","Pure U"
"10097621","U",56,"USM",2448,100,"Frequency","Pure U"
"213499","U",2,"USM",4316,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",2,"Prolific",1227,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",NA,"Prolific",5723,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",20,"Prolific",1058,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",15,"Prolific",1344,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",5,"Prolific",2193,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",2,"Prolific",4212,0,"Frequency","Pure U"
"w10013152_klj","U",20,"USM",5554,100,"Frequency","Pure U"
"w10044769_mad","U",85,"USM",16925,0,"Frequency","Pure U"
"w10080302_stt","U",20,"USM",2782,0,"Frequency","Pure U"
"w10103314","U",10,"USM",5536,100,"Frequency","Pure U"
"w10118712","U",0,"USM",1710,0,"Frequency","Pure U"
"w939844","U",20,"USM",11344,0,"Frequency","Pure U"
"w970137","U",50,"USM",2709,100,"Frequency","Pure U"
"w994700","U",0,"USM",1261,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",7821,100,"Frequency","Pure U"
"488672","U",8,"USM",5764,100,"Frequency","Pure U"
"10006036","U",40,"USM",4646,100,"Frequency","Pure U"
"10038653","U",0,"USM",3773,0,"Frequency","Pure U"
"10066786","U",67,"USM",10315,0,"Frequency","Pure U"
"10097621","U",34,"USM",2789,0,"Frequency","Pure U"
"213499","U",2,"USM",5557,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",1,"Prolific",1974,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",4,"Prolific",8034,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",6,"Prolific",12210,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",12,"Prolific",5883,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",40,"Prolific",3355,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",0,"Prolific",3295,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",2311,100,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",13769,0,"Frequency","Pure U"
"w10080302_stt","U",2,"USM",16230,0,"Frequency","Pure U"
"w10103314","U",1,"USM",4512,0,"Frequency","Pure U"
"w10118712","U",0,"USM",5957,100,"Frequency","Pure U"
"w939844","U",10,"USM",7027,0,"Frequency","Pure U"
"w970137","U",0,"USM",2525,0,"Frequency","Pure U"
"w994700","U",50,"USM",1525,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",14438,100,"Frequency","Pure U"
"488672","U",1,"USM",15748,0,"Frequency","Pure U"
"10006036","U",10,"USM",1419,0,"Frequency","Pure U"
"10038653","U",6,"USM",7086,0,"Frequency","Pure U"
"10066786","U",0,"USM",5590,100,"Frequency","Pure U"
"10097621","U",0,"USM",8950,0,"Frequency","Pure U"
"213499","U",0,"USM",4410,100,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",1249,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",900,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",10,"Prolific",7426,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",22,"Prolific",1206,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",10,"Prolific",2704,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",5,"Prolific",3082,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",20,"Prolific",4242,100,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",1359,0,"Frequency","Pure U"
"w10044769_mad","U",30,"USM",18041,0,"Frequency","Pure U"
"w10080302_stt","U",5,"USM",48833,0,"Frequency","Pure U"
"w10103314","U",15,"USM",1908,0,"Frequency","Pure U"
"w10103314","U",0,"USM",4646,100,"Frequency","Pure U"
"w10118712","U",0,"USM",3677,0,"Frequency","Pure U"
"w939844","U",1,"USM",9764,0,"Frequency","Pure U"
"w970137","U",0,"USM",3185,0,"Frequency","Pure U"
"w994700","U",50,"USM",1393,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",7842,0,"Frequency","Pure U"
"488672","U",4,"USM",4788,0,"Frequency","Pure U"
"10006036","U",0,"USM",2205,0,"Frequency","Pure U"
"10038653","U",3,"USM",4385,0,"Frequency","Pure U"
"10066786","U",30,"USM",5482,100,"Frequency","Pure U"
"10097621","U",1,"USM",6571,0,"Frequency","Pure U"
"213499","U",0,"USM",1739,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",1042,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",20,"Prolific",6120,100,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",5,"Prolific",3609,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",3,"Prolific",771,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",20,"Prolific",3573,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",1,"Prolific",3599,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",3903,100,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",7757,0,"Frequency","Pure U"
"w10080302_stt","U",3,"USM",6387,0,"Frequency","Pure U"
"w10103314","U",1,"USM",1414,0,"Frequency","Pure U"
"w10118712","U",0,"USM",2256,0,"Frequency","Pure U"
"w939844","U",15,"USM",8677,0,"Frequency","Pure U"
"w970137","U",NA,"USM",3817,100,"Frequency","Pure U"
"w994700","U",0,"USM",4883,0,"Frequency","Pure U"
"w998015_dp","U",100,"USM",3460,100,"Frequency","Pure U"
"488672","U",3,"USM",12862,0,"Frequency","Pure U"
"10006036","U",20,"USM",1444,0,"Frequency","Pure U"
"10038653","U",2,"USM",2939,0,"Frequency","Pure U"
"10066786","U",43,"USM",16059,0,"Frequency","Pure U"
"10097621","U",34,"USM",7766,0,"Frequency","Pure U"
"213499","U",0,"USM",4575,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",0,"Prolific",1231,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",16,"Prolific",3664,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",1,"Prolific",3059,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",30,"Prolific",1375,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",5,"Prolific",2225,100,"Frequency","Pure U"
"6137d37772474196292ddb24","U",0,"Prolific",6706,100,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",4716,100,"Frequency","Pure U"
"w10044769_mad","U",30,"USM",2517,100,"Frequency","Pure U"
"w10080302_stt","U",7,"USM",3342,0,"Frequency","Pure U"
"w10103314","U",0,"USM",4267,0,"Frequency","Pure U"
"w10118712","U",5,"USM",1994,0,"Frequency","Pure U"
"w939844","U",7,"USM",20907,100,"Frequency","Pure U"
"w970137","U",3,"USM",12925,0,"Frequency","Pure U"
"w994700","U",10,"USM",1650,100,"Frequency","Pure U"
"w998015_dp","U",100,"USM",2390,100,"Frequency","Pure U"
"488672","U",14,"USM",2962,0,"Frequency","Pure U"
"10006036","U",0,"USM",21312,0,"Frequency","Pure U"
"10038653","U",2,"USM",3277,0,"Frequency","Pure U"
"10066786","U",0,"USM",7314,0,"Frequency","Pure U"
"10097621","U",21,"USM",15779,0,"Frequency","Pure U"
"213499","U",2,"USM",3118,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",5,"Prolific",4441,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",5,"Prolific",7666,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",12,"Prolific",5015,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",5,"Prolific",1355,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",1,"Prolific",5602,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",1,"Prolific",3115,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",8167,0,"Frequency","Pure U"
"w10044769_mad","U",0,"USM",7914,0,"Frequency","Pure U"
"w10080302_stt","U",6,"USM",3597,0,"Frequency","Pure U"
"w10103314","U",15,"USM",2308,0,"Frequency","Pure U"
"w10118712","U",0,"USM",4915,0,"Frequency","Pure U"
"w939844","U",5,"USM",43254,0,"Frequency","Pure U"
"w970137","U",1,"USM",1910,0,"Frequency","Pure U"
"w994700","U",0,"USM",1802,0,"Frequency","Pure U"
"w998015_dp","U",0,"USM",5692,0,"Frequency","Pure U"
"488672","U",7,"USM",9538,0,"Frequency","Pure U"
"10006036","U",30,"USM",2976,0,"Frequency","Pure U"
"10038653","U",5,"USM",4532,0,"Frequency","Pure U"
"10066786","U",0,"USM",6790,0,"Frequency","Pure U"
"10097621","U",78,"USM",1743,0,"Frequency","Pure U"
"213499","U",5,"USM",7724,0,"Frequency","Pure U"
"58542426733c730001a5d1f4","U",20,"Prolific",1375,0,"Frequency","Pure U"
"5d2519a686fe240019764bd5","U",15,"Prolific",2891,0,"Frequency","Pure U"
"5efa4610ae765911b83a2ad5","U",10,"Prolific",1309,0,"Frequency","Pure U"
"5f00fb5e68eebf111a74c947","U",70,"Prolific",1264,0,"Frequency","Pure U"
"6115f565c20c53283b069c14","U",20,"Prolific",3677,0,"Frequency","Pure U"
"6137d37772474196292ddb24","U",0,"Prolific",3547,0,"Frequency","Pure U"
"w10013152_klj","U",0,"USM",3818,100,"Frequency","Pure U"
"w10044769_mad","U",70,"USM",11444,0,"Frequency","Pure U"
"w10080302_stt","U",85,"USM",4018,0,"Frequency","Pure U"
"w10103314","U",30,"USM",2939,0,"Frequency","Pure U"
"w10118712","U",30,"USM",6008,0,"Frequency","Pure U"
"w939844","U",10,"USM",7203,0,"Frequency","Pure U"
