"","id","Response","key","percent_match","Scored","Condition.Number","Condition.Description","Stimuli.Cue","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Procedure.Shuffle","Procedure.Shuffle.1","Response.RT"
"36","w10035486_ams","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2317
"37","w10042031","","lion","0",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",1475
"38","w10048816_met","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2358
"39","w10053586_akc","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2396
"40","w10053586_akc","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase2","Recall2",4084
"41","w10059972","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",4106
"42","w10064704_krj","","lion","0",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2095
"43","w10086173","science ","lion","0.125",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",4947
"44","w10099591_nj","","lion","0",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2977
"45","w214345","","lion","0",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",2426
"46","w970595","lion","lion","1",1,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",5015
"47","w993514_dss","galler","lion","0.333333333333333",0,1,"Read Mixed A","art","Study1","U","Study Phase","Recall1",4226
"48","10011009","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",4569
"49","10085738","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",3553
"50","10104845","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",3011
"51","5e18762ae80b8e1495d584d7","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",8137
"52","5e8f0692facc7d1c12b4c9a1","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",563
"53","5ef0d9df2000e815edba6330","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",3457
"54","982121CC","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",6275
"55","986320","artist","bronze","0.166666666666667",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",4844
"56","W10005158","vein","bronze","0.333333333333333",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",4560
"57","w10013029","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",4463
"58","w10019584","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",2575
"59","w10035486_ams","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",6477
"60","w10035486_ams","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase2","Recall2",2644
"61","w10042031","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",2380
"62","w10048816_met","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",4566
"63","w10053586_akc","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",5292
"64","w10059972","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",6296
"65","w10064704_krj","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",1175
"66","w10086173","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",1909
"67","w10099591_nj","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",9374
"68","w214345","bronze","bronze","1",1,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",7014
"69","w970595","","bronze","0",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",2067
"70","w993514_dss","vein","bronze","0.333333333333333",0,1,"Read Mixed A","artery","Study1","U","Study Phase","Recall1",3154
"71","10011009","taste","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",4706
"72","10085738","dry","cold","0.25",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",2566
"73","10104845","","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",1505
"74","5e18762ae80b8e1495d584d7","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",5597
"75","5e8f0692facc7d1c12b4c9a1","","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",885
"76","5ef0d9df2000e815edba6330","taste","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",2287
"77","982121CC","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3646
"78","986320","sour","cold","0.25",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",6450
"79","W10005158","honey","cold","0.2",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",5396
"80","w10013029","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3285
"81","w10019584","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",2325
"82","w10035486_ams","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",4147
"83","w10042031","","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",1611
"84","w10048816_met","candy","cold","0.4",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",4601
"85","w10053586_akc","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",31109
"86","w10059972","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3720
"87","w10064704_krj","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3311
"88","w10086173","sweet","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3063
"89","w10099591_nj","cold","cold","1",1,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",2369
"90","w214345","","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",8058
"91","w970595","sweet","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",3728
"92","w993514_dss","sweet","cold","0",0,1,"Read Mixed A","bitter","Study1","F","Study Phase","Recall1",2583
"93","10011009","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3805
"94","10085738","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",2861
"95","10104845","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",1956
"96","5e18762ae80b8e1495d584d7","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",4793
"97","5e8f0692facc7d1c12b4c9a1","","water","0",0,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",1164
"98","5ef0d9df2000e815edba6330","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",2909
"99","982121CC","","water","0",0,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3266
"100","986320","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3031
"101","W10005158","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",6387
"102","w10013029","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3209
"103","w10019584","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",7785
"104","w10035486_ams","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",2645
"105","w10042031","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3191
"106","w10048816_met","","water","0",0,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",4645
"107","w10053586_akc","wter","water","0.8",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3849
"108","w10059972","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",4342
"109","w10064704_krj","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",4523
"110","w10086173","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",2825
"111","w10099591_nj","ladder","water","0.333333333333333",0,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",4637
"112","w214345","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",3311
"113","w970595","lake","water","0.4",0,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",2286
"114","w993514_dss","water","water","1",1,1,"Read Mixed A","bridge","Study1","F","Study Phase","Recall1",1537
"115","10011009","work","would","0.4",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",8698
"116","10085738","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",1768
"117","10104845","wage","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",3510
"118","5e18762ae80b8e1495d584d7","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",9268
"119","5e8f0692facc7d1c12b4c9a1","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",6909
"120","5ef0d9df2000e815edba6330","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",1576
"121","982121CC","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",5124
"122","986320","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",4072
"123","W10005158","time","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",5936
"124","w10013029","king","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",17059
"125","w10019584","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2365
"126","w10035486_ams","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2590
"127","w10042031","wallet","would","0.5",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",6955
"128","w10048816_met","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2212
"129","w10053586_akc","would","would","1",1,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",3563
"130","w10059972","money ","would","0.166666666666667",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",6799
"131","w10064704_krj","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",1796
"132","w10086173","money ","would","0.166666666666667",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2787
"133","w10099591_nj","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",6951
"134","w10099591_nj","","would","0",0,1,"Read Mixed A","cash","Study1","U","Study Phase2","Recall2",2932
"135","w214345","money ","would","0.166666666666667",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2652
"136","w970595","coin","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",2096
"137","w993514_dss","money","would","0.2",0,1,"Read Mixed A","cash","Study1","U","Study Phase","Recall1",1667
"138","10011009","wood","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",3612
"139","10085738","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2171
"140","10104845","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",1936
"141","5e18762ae80b8e1495d584d7","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",5272
"142","5e8f0692facc7d1c12b4c9a1","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",899
"143","5ef0d9df2000e815edba6330","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2826
"144","982121CC","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",3891
"145","986320","chips","hammer","0.166666666666667",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",4055
"146","W10005158","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",4941
"147","w10013029","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",3121
"148","w10019584","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2004
"149","w10035486_ams","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2310
"150","w10042031","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",1257
"151","w10048816_met","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",1305
"152","w10053586_akc","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",4410
"153","w10059972","hammer ","hammer","0.857142857142857",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",7892
"154","w10064704_krj","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",676
"155","w10086173","hammer","hammer","1",1,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",3013
"156","w10099591_nj","wood","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",5821
"157","w214345","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2477
"158","w970595","","hammer","0",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",13478
"159","w993514_dss","fire","hammer","0.333333333333333",0,1,"Read Mixed A","chisel","Study1","F","Study Phase","Recall1",2675
"160","10011009","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2910
"161","10085738","","card","0",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",921
"162","10104845","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",1854
"163","5e18762ae80b8e1495d584d7","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",4482
"164","5e8f0692facc7d1c12b4c9a1","","card","0",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",878
"165","5ef0d9df2000e815edba6330","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",1407
"166","982121CC","","card","0",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",10823
"167","986320","score","card","0.4",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",3178
"168","W10005158","","card","0",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",627
"169","w10013029","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2844
"170","w10019584","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",1933
"171","w10035486_ams","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2194
"172","w10042031","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2892
"173","w10048816_met","bank","card","0.25",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",3521
"174","w10053586_akc","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",7388
"175","w10059972","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",3341
"176","w10064704_krj","","card","0",0,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",3873
"177","w10086173","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2903
"178","w10099591_nj","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2379
"179","w214345","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2288
"180","w970595","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",2063
"181","w993514_dss","card","card","1",1,1,"Read Mixed A","credit","Study1","F","Study Phase","Recall1",1554
"182","10011009","life","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",2561
"183","10085738","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",2826
"184","10104845","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",3822
"185","5e18762ae80b8e1495d584d7","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",33904
"186","5e8f0692facc7d1c12b4c9a1","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",788
"187","5ef0d9df2000e815edba6330","life","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",3241
"188","982121CC","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",1004
"189","986320","dead","business","0.125",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",14985
"190","986320","business","business","1",1,1,"Read Mixed A","death","Study1","U","Study Phase2","Recall2",18701
"191","W10005158","reward","business","0.125",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",12836
"192","w10013029","business","business","1",1,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",5839
"193","w10019584","dead","business","0.125",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",10270
"194","w10035486_ams","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",4458
"195","w10042031","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",1949
"196","w10048816_met","sad","business","0.125",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",6134
"197","w10053586_akc","business","business","1",1,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",6978
"198","w10059972","coffin","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",9287
"199","w10064704_krj","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",1001
"200","w10086173","","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",2437
"201","w10099591_nj","life","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",2750
"202","w214345","list","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",6858
"203","w970595","alive","business","0.25",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",4493
"204","w993514_dss","toll","business","0",0,1,"Read Mixed A","death","Study1","U","Study Phase","Recall1",2862
"205","w993514_dss","rate","business","0.125",0,1,"Read Mixed A","death","Study1","U","Study Phase2","Recall2",5143
"206","10011009","sing","sight","0.6",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",7009
"207","10085738","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",966
"208","10085738","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase2","Recall2",1293
"209","10104845","argue","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",4097
"210","5e18762ae80b8e1495d584d7","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",10068
"211","5e8f0692facc7d1c12b4c9a1","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1690
"212","5ef0d9df2000e815edba6330","talk","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",3924
"213","982121CC","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1619
"214","986320","politics","sight","0.25",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",8821
"215","W10005158","discussion","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",4615
"216","w10013029","sight","sight","1",1,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",4353
"217","w10019584","sight","sight","1",1,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",9091
"218","w10035486_ams","argue","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",4300
"219","w10042031","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1501
"220","w10048816_met","argue","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",3324
"221","w10053586_akc","sight","sight","1",1,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",11377
"222","w10059972","discussion ","sight","0.181818181818182",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",17546
"223","w10064704_krj","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",747
"224","w10086173","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1821
"225","w10099591_nj","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1090
"226","w214345","discussion","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",3262
"227","w970595","","sight","0",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",2867
"228","w993514_dss","team","sight","0.2",0,1,"Read Mixed A","debate","Study1","U","Study Phase","Recall1",1887
"229","10011009","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",2481
"230","10085738","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",3290
"231","10104845","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",3041
"232","5e18762ae80b8e1495d584d7","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",5164
"233","5e8f0692facc7d1c12b4c9a1","","bad","0",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1598
"234","5ef0d9df2000e815edba6330","naughty","bad","0.142857142857143",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",3998
"235","982121CC"," bad","bad","0.5",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",8463
"236","986320","","bad","0",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1929
"237","W10005158","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",13942
"238","w10013029","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",2893
"239","w10019584","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1866
"240","w10035486_ams","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1846
"241","w10042031","","bad","0",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1760
"242","w10048816_met","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",3108
"243","w10053586_akc","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",13889
"244","w10059972","jail","bad","0.25",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",6629
"245","w10064704_krj","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",2200
"246","w10086173","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",3001
"247","w10099591_nj","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",7608
"248","w214345","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1789
"249","w970595","person","bad","0",0,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",4014
"250","w993514_dss","bad","bad","1",1,1,"Read Mixed A","delinquent","Study1","F","Study Phase","Recall1",1690
"251","10011009","snacking","sacking","0.875",1,1,"Read Mixed A","dietary","Study1","U","Study Phase","Recall1",4625
"252","10085738","bad","sacking","0.142857142857143",0,1,"Read Mixed A","dietary","Study1","U","Study Phase","Recall1",2844
"253","10104845","","sacking","0",0,1,"Read Mixed A","dietary","Study1","U","Study Phase","Recall1",1816
"254","10104845","food","sacking","0",0,1,"Read Mixed A","dietary","Study1","U","Study Phase2","Recall2",2736
